gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
krt8	23-10290818-10291318	0	0.6201289715823131	0.6646131768298288	5	0.04448420524751573	0.04315491246605285	0.0012758658800043792	core_concordant	True	0.5215520231026145	0.0
krt8	23-10256140-10256640	1	0.6140701456709443	0.6620940018137986	1	0.048023856142854315	0.08338681948210891	0.0026513929200245746	core_concordant	True	0.4957964227167282	0.0
krt8	23-10273687-10274187	2	0.6111218815519954	0.6454109855029349	1	0.034289103950939426	0.05317619978434218	0.0011768193124382762	core_concordant	True	0.4766172817360098	0.0
krt8	23-10174777-10175277	3	0.6346188798247783	0.7070490891048538	0	0.07243020928007549	0.09959106875370538	0.005100229279690675	core_concordant	True	0.4608962141761235	0.0
krt8	23-10205106-10205606	4	0.6273251982622118	0.680210235605259	1	0.05288503734304717	0.05573723154724475	0.0020050322930619748	core_concordant	True	0.4463766001379978	0.0
krt8	23-10277756-10278256	5	0.48413005575332957	0.5145362093145864	1	0.030406153561256866	0.054566976459305694	0.0008537040023247325	core_concordant	True	0.4452864658887008	0.0
krt8	23-10251276-10251776	6	0.4429151710708427	0.5108988787720611	1	0.06798370770121837	0.08152183379198524	0.0028314815519357036	core_concordant	True	0.4429795833921967	0.0
krt8	23-10172940-10173440	7	0.539670212663473	0.5799223068664258	1	0.040252094202952726	0.0711685309956005	0.0016612932339205573	core_concordant	True	0.4341054524852064	0.0
krt8	23-10259233-10259733	8	0.48278014368820804	0.5445422920953742	1	0.06176214840716615	0.11811024676821985	0.003972295849826331	core_concordant	True	0.4302741210471655	0.0
krt8	23-10343423-10343923	9	0.5169362167907796	0.5671971219212301	1	0.05026090513045045	0.09439966907275521	0.002691130731376733	core_concordant	True	0.4293281267514734	0.0
krt8	23-10345203-10345703	10	0.4779091768054882	0.5066480062577655	0	0.028738829452277292	0.017152336645397614	0.0002497460942043747	core_concordant	True	0.42534657404499	0.0
krt8	23-10249123-10249623	11	0.4181648392484373	0.4390712011785291	1	0.02090636193009182	0.026480475834959605	0.0002430743885320406	core_concordant	True	0.4239513569153796	0.0
krt8	23-10172393-10172893	12	0.5359714715050672	0.5720875116470144	0	0.03611604014194725	0.06792919413194165	0.0014035214584448205	core_concordant	True	0.4204023690187315	0.0
krt8	23-10215927-10216427	13	0.465405208732527	0.5714595053795051	1	0.10605429664697807	0.18336691731625387	0.011113086964629319	core_concordant	True	0.4188469198632344	0.0
krt8	23-10344510-10345010	14	0.4577373691441515	0.49081516638133166	0	0.033077797237180184	0.04839864915836373	0.0007857561614093514	core_concordant	True	0.4121576522311664	0.0
krt8	23-10197136-10197636	15	0.39127367474926966	0.4510241999162006	1	0.05975052516693091	0.09159617613216264	0.0024684191960542686	core_concordant	True	0.4066654807170772	0.0
krt8	23-10174177-10174677	16	0.5819410560610917	0.6068442316590658	4	0.02490317559797406	0.00737038380476529	0.0001113838083535185	core_concordant	True	0.4064933536191671	0.0
krt8	23-10350579-10351079	17	0.4650655747916228	0.5508878606267752	4	0.08582228583515239	0.10837009534566805	0.005123570723593197	core_concordant	True	0.3912185882735548	0.0
krt8	23-10281439-10281939	18	0.40193011962475234	0.41696432974885794	2	0.015034210124105607	0.030466971626317174	0.00019098919916947388	core_concordant	True	0.3870016357395066	0.0
krt8	23-10181999-10182499	19	0.484229736466822	0.5536494799758008	1	0.06941974350897884	0.14318317323391672	0.00550313141741676	core_concordant	True	0.3847371337074769	0.0
hoxc3a	23-35987197-35987697	0	0.6734649436349178	0.5769353186472174	2	-0.09652962498770046	0.4607095989401242	0.0	core_concordant	True	0.6020955932039833	0.0
hoxc3a	23-36106458-36106958	1	0.5495083137273401	0.32633625688469975	2	-0.22317205684264035	0.24874323642776644	0.0	core_concordant	True	0.5655007113381653	0.0
hoxc3a	23-36098603-36099103	2	0.5457862842102212	0.37387673559597395	2	-0.1719095486142473	0.29746887106210845	0.0	core_concordant	True	0.5214659714684651	0.0
hoxc3a	23-36112322-36112822	3	0.4808262824069142	0.24350302934769374	2	-0.23732325305922047	0.16353890905398072	0.0	core_concordant	True	0.5115517229367015	0.0
hoxc3a	23-36078189-36078689	4	0.5127869791089475	0.35535755716581335	2	-0.1574294219431342	0.29289848992895584	0.0	core_concordant	True	0.5095241021669998	0.0
hoxc3a	23-36122274-36122774	5	0.3918232829569337	0.10582014620599565	5	-0.286003136750938	0.07909879039047145	0.0	core_concordant	True	0.4732896364137906	0.0
hoxc3a	23-36103170-36103670	6	0.49675079374500064	0.38624583108856225	2	-0.11050496265643839	0.3574298008545999	0.0	core_concordant	True	0.4666493806152342	0.0
hoxc3a	23-36121246-36121746	7	0.416469164793654	0.19359158963390713	2	-0.22287757515974685	0.09506906678067686	0.0	core_concordant	True	0.461437742029501	0.0
hoxc3a	23-36005426-36005926	8	0.4411118334921728	0.2669002770033945	2	-0.17421155648877829	0.24290380272945117	0.0	core_concordant	True	0.4495963572022842	0.0
hoxc3a	23-36109118-36109618	9	0.4223750682066946	0.24247367876726086	2	-0.17990138943943376	0.2110398000962586	0.0	core_concordant	True	0.4397785818022019	0.0
hoxc3a	23-36058455-36058955	10	0.45404050449106675	0.3431364274181797	2	-0.11090407707288708	0.28933551263205626	0.0	core_concordant	True	0.4321313144766204	0.0
hoxc3a	23-36105809-36106309	11	0.4287745721247708	0.2939697855862036	2	-0.1348047865385672	0.27917793887360315	0.0	core_concordant	True	0.4233277839012876	0.0
hoxc3a	23-36079318-36079818	12	0.40557008492431756	0.2892600626824092	2	-0.11631002224190834	0.27958107585346476	0.0	core_concordant	True	0.3844260474793448	0.0
hoxc3a	23-36069359-36069859	13	0.22907440877837223	0.19237128678953425	1	-0.03670312198883799	0.16122802708069758	0.0	unsupported	True	0.3145742315429492	0.0
hoxc3a	23-36132770-36133270	14	0.2792408024795251	0.21963936560086753	2	-0.05960143687865757	0.17999035016927747	0.0	unsupported	True	0.310244768256748	0.0
hoxc3a	23-36024576-36025076	15	0.3300664078503506	0.307780846756673	2	-0.022285561093677575	0.2584267239679262	0.0	unsupported	True	0.3062260785300927	0.0
hoxc3a	23-36078705-36079205	16	0.298681219472677	0.2598977137669284	2	-0.03878350570574862	0.24096494221081785	0.0	unsupported	True	0.2850807129913295	0.0
hoxc3a	23-36018943-36019443	17	0.2722542938149972	0.11134376549231609	1	-0.16091052832268113	0.06825218134425506	0.0	unsupported	True	0.2794892932542568	0.0
hoxc3a	23-36040137-36040637	18	0.22041927591662533	0.16650926796803459	2	-0.053910007948590744	0.18230320003058476	0.0	unsupported	True	0.2787589231354347	0.0
hoxc3a	23-36181686-36182186	19	0.2019147546107626	0.07094698869414777	5	-0.13096776591661485	0.0936813677605307	0.0	unsupported	True	0.2698088033633003	0.0
krt18a.1	23-10290818-10291318	0	0.6118261129507588	0.6485609526135707	5	0.03673483966281188	0.03911326768712975	0.0009318650996491123	core_concordant	True	0.5009961378907781	0.0
krt18a.1	23-10256140-10256640	1	0.5779125694987357	0.6142313479610253	2	0.03631877846228959	0.04033116876749798	0.0008997130467104082	core_concordant	True	0.476290460435824	0.0
krt18a.1	23-10273687-10274187	2	0.6041982414387191	0.6290028969031155	1	0.024804655464396363	0.023560542851585153	0.0003675963050667489	core_concordant	True	0.4630519535686995	0.0
krt18a.1	23-10277756-10278256	3	0.5046526995015979	0.5335651382657476	1	0.028912438764149728	0.045133039864895697	0.0006962524844167175	core_concordant	True	0.4453399998899757	0.0
krt18a.1	23-10249123-10249623	4	0.43534300709255974	0.45765417758432475	1	0.02231117049176501	0.015699162845274284	0.00016030101798313878	core_concordant	True	0.4398303910224647	0.0
krt18a.1	23-10350579-10351079	5	0.4932520146627678	0.5734557213438318	4	0.08020370668106402	0.12045835769820301	0.005540274307727181	core_concordant	True	0.4311699911844661	0.0
krt18a.1	23-10251276-10251776	6	0.44817060518919827	0.5119223395617915	1	0.06375173437259318	0.07272507094450575	0.0023734508344755616	core_concordant	True	0.4182437535800239	0.0
krt18a.1	23-10259233-10259733	7	0.4981988441070195	0.5732471544504417	2	0.07504831034342224	0.13286553159339387	0.0057160386403450085	core_concordant	True	0.4151737607473112	0.0
krt18a.1	23-10345203-10345703	8	0.4330923399220338	0.4548827627284405	0	0.02179042280640675	0.008281983310869434	8.209174513253686e-05	core_concordant	True	0.4094773464310455	0.0
krt18a.1	23-10343423-10343923	9	0.49032802955007504	0.5363695133266764	1	0.04604148377660133	0.08363742529026225	0.002065446980207143	core_concordant	True	0.407448818747084	0.0
krt18a.1	23-10344510-10345010	10	0.4408137853055839	0.48189170307330637	0	0.04107791776772246	0.05437866213618625	0.0010764314763841534	core_concordant	True	0.4045107964615091	0.0
krt18a.1	23-10291398-10291898	11	0.33647833012793904	0.36031881295388124	2	0.0238404828259422	0.03955754705617587	0.00033980623090049594	unsupported	True	0.3932659940703836	0.0
krt18a.1	23-10281439-10281939	12	0.38797934079519436	0.40452153267005064	2	0.016542191874856282	0.029442685119080714	0.00019702081549238841	core_concordant	True	0.3851028042086552	0.0
